,Work Description,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,APN_number,AIN,GeneralUseType,SpecificUseType,RecordingDate,Bedrooms,Bathrooms,Units,TotalValue
320,NEW(21' x 30' DETACHED ACCESSORY DWELLING UNIT PER AB494 AND SB229. AL,2019-09-20,84000.0,569.0,,1.0,R2-1VL,5423006014,5423006014,Residential,Single Family Residence,2012-12-20,4.0,2.0,1,"767,211.00"
321,CONVERT GARAGE INTO ADU PER AB 494 and SB 229   2 OF 2,2020-02-14,50000.0,324.0,,0.0,R1-1,5467031027,5467031027,Residential,Single Family Residence,1990-10-25,2.0,1.0,1,"169,561.00"
322,"ADD 15'-5.5"" X 36'-1.5"" 2ND STORY ACCESSORY DWELLING UNIT OVER AN EXIS",2019-09-17,90000.0,499.0,0.0,2.0,R1V2,4244019027,4244019027,Residential,Single Family Residence,2018-07-23,3.0,2.0,1,"350,422.00"
323,Conversion of (E) 1-story SFD to Accessory Dwelling Unit per AB 494 an,2019-09-19,47050.0,0.0,,0.0,R1-1,2354014050,2354014050,Residential,Single Family Residence,2016-02-19,2.0,1.0,1,"417,458.00"
324,NEW 25' X 25' 2-STORY ACCESSORY DWELLING UNIT WITH 5 'X25' BALCONY PER,2019-09-20,125000.0,1152.0,,2.0,RE11-1,2731017012,2731017012,Residential,Single Family Residence,2012-08-30,5.0,3.0,1,"640,258.00"
325,ADDITION TO & CONVERT (EXISTING) DETACHED GARAGE TO ADU,2020-02-14,100000.0,842.0,,1.0,R1-1,2023008003,2023008003,Residential,Single Family Residence,2017-10-23,2.0,1.0,1,"212,740.00"
326,CONVERT BREEZEWAY AND ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER A,2019-09-18,50000.0,2157.0,0.0,,R1-1,2075020020,2075020020,Residential,Single Family Residence,1989-12-15,3.0,2.0,1,"567,328.00"
327,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER A,2019-01-24,73000.0,811.0,,1.0,R1-1,5017010009,5017010009,Residential,Single Family Residence,2008-12-17,2.0,1.0,1,"128,661.00"
328,NEW ACCESSORY DWELLING UNIT (ADU) AT REAR OF THE PROPERTY PER PER AB 4,2020-02-10,120000.0,903.0,,1.0,RS-1-CUGU,2634033006,2634033006,Residential,Single Family Residence,2018-08-03,3.0,2.0,1,"560,000.00"
329,CONVERT (E) CARPORT TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.,2019-05-01,40000.0,434.0,,1.0,R1V3-RG,5090002002,5090002002,Residential,Single Family Residence,2018-07-24,4.0,2.0,1,"2,050,000.00"
330,"CONVERT (21' X 22'-8"") (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT",2019-09-18,11000.0,479.0,0.0,0.0,R1-1-CUGU,2533028013,2533028013,Residential,Single Family Residence,2009-08-28,3.0,2.0,1,"282,335.00"
331,Addition of Accessory Dwelling Unit Per AB-2299& SB-1069 and storage t,2018-04-17,70000.0,413.0,1.0,2.0,R1V2,4236025016,4236025016,Residential,Single Family Residence,2017-10-06,4.0,3.0,1,"1,212,061.00"
332,CONVERT EXISTING ATT 2- CAR GARAGE INTO ACCESSORY DWELLING UNIT PER AB,2019-09-18,18000.0,333.0,0.0,1.0,R1-1,2340032019,2340032019,Residential,Single Family Residence,2018-03-18,2.0,1.0,1,"568,805.00"
333,"Add 18'2"" x 17'4"" to detached garage and convert to accessory dwelling",2017-11-13,50000.0,592.0,,1.0,R2-1,6029026005,6029026005,Residential,Single Family Residence,2003-06-17,2.0,1.0,1,"174,965.00"
334,"Add 6'4"" x 17'7"" to attached garage and convert to Accessory Dwelling",2018-06-21,27000.0,445.0,,1.0,R1-1,2326008003,2326008003,Residential,Single Family Residence,2005-09-28,3.0,2.0,1,"290,421.00"
335,CONVERT (18' X 20') (E) DET. GARAGE INTO ACCESSORY DWELLING UNIT PER A,2018-05-30,29000.0,360.0,,1.0,R1-1,2507013003,2507013003,Residential,Single Family Residence,2016-06-03,3.0,3.0,2,"386,020.00"
336,CONVERT 435 SF OF (E) SINGLE FAMILY DWELLING TO (N) ADU PER SB 229 AND,2019-07-11,10000.0,3991.0,0.0,0.0,R1-1,5591004025,5591004025,Residential,Single Family Residence,2018-09-14,4.0,3.0,1,"1,119,862.00"
337,CONVERT DETACHED RECREATION ROOM TO ACCESSORY DWELLING UNIT PER AB 494,2019-09-17,10000.0,448.0,,,R1-1-O-CUGU,2620027022,2620027022,Residential,Single Family Residence,2017-04-21,3.0,2.0,1,"329,283.00"
338,ADDITION TO (E) 2-CAR GARAGE FOR NEW ACCESSORY DWELLING UNIT PER AB 49,2019-01-02,46000.0,448.0,,1.0,R1-1,5474014022,5474014022,Residential,Single Family Residence,2015-10-05,3.0,2.0,1,"241,394.00"
339,"Add 19'-11"" x 38'-11"" second story Accessory Dwelling Unit per AB 494",2019-09-20,67000.0,804.92,0.0,2.0,RS-1-O,2648002044,2648002044,Residential,Single Family Residence,2000-08-22,2.0,1.0,1,"214,569.00"
340,CONVERT (E) ACCESSORY LIVING QUARTERS TO (N) ACCESSORY DWELLING UNIT P,2018-09-11,10000.0,0.0,,0.0,R1-1,2508022004,2508022004,Residential,Single Family Residence,2010-11-04,3.0,1.0,1,"214,456.00"
341,ADD AND CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND S,2018-04-23,38500.0,575.0,,0.0,R1-1,2210017001,2210017001,Residential,Single Family Residence,2017-04-28,4.0,3.0,1,"447,371.00"
342,CONVERT (E) 18' X 20' DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT.,2020-02-10,20000.0,323.0,,0.0,RS-1,2649014005,2649014005,Residential,Single Family Residence,2014-12-01,3.0,2.0,1,"406,719.00"
343,CONVERT (E) GARAGE TO (N) ACCESSORY DWELLING UNIT,2020-02-13,20000.0,360.0,,0.0,R1-1,2249014001,2249014001,Residential,Single Family Residence,2015-12-17,3.0,2.0,1,"824,201.00"
344,CONVERT (E) 20' X 20' DETACHED  GARAGE TO ACCESSORY DWELLING UNIT PER,2019-08-02,19000.0,363.0,,1.0,R1-1-RIO,2125027013,2125027013,Residential,Single Family Residence,2012-10-23,3.0,1.0,1,"220,775.00"
345,"CONVERT (E) 18'-10"" X 22'-0"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-09-16,30000.0,420.0,0.0,0.0,RD5-1XL,2513025006,2513025006,Residential,Single Family Residence,2008-06-13,4.0,3.0,1,"339,101.00"
346,PROPOSED ADDITION TO EXISTING GARAGE TO CREATE AN ACCESSORY DWELLING U,2019-08-09,30000.0,460.0,,0.0,RD3-1-HPOZ,5206009002,5206009002,Residential,Single Family Residence,2018-05-30,3.0,2.0,1,"622,418.00"
347,Addition to (e) SFD and convert portion to Accessory Dwelling Unit per,2018-09-11,70000.0,2539.0,0.0,1.0,R1-1-RFA-RIO,2364016040,2364016040,Residential,Single Family Residence,2018-04-06,3.0,3.0,1,"1,000,620.00"
348,"26'-11"" x 25'-0"" TWO STORY ACCESSORY DWELLING UNIT ADDITION TO (E) DET",2018-01-24,126000.0,1175.0,,2.0,R1-1,2335004008,2335004008,Residential,Single Family Residence,2001-09-24,5.0,3.0,2,"403,316.00"
349,NEW 1-STORY ACCESSORY DWELLING UNIT (ADU) IN REAR OF THE LOT PER AB 49,2019-09-20,45000.0,733.0,,1.0,R1-1,2639022029,2639022029,Residential,Single Family Residence,2006-06-13,3.0,1.0,1,"486,000.00"
350,"New (26'8"" x 38') one-story Accessory Dwelling Unit per AB 494 & SB 22",2019-09-16,103000.0,976.1,,1.0,RS-1-CUGU,2634038016,2634038016,Residential,Single Family Residence,2017-04-11,4.0,3.0,1,"500,442.00"
351,NEW 20' X 25' DETACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.,2018-07-20,50500.0,500.0,,1.0,RS-1,2012004026,2012004026,Residential,Single Family Residence,2005-05-27,3.0,2.0,1,"599,000.00"
352,Supplemental to 19016-10000-06440  to add new ledger for ADU ceiling j,2019-06-21,501.0,,,,R1-1,6041029023,6041029023,Residential,Single Family Residence,2018-12-20,3.0,2.0,1,"425,000.00"
353,"(N) DETACHED 40' X 26' 3"" 1-STORY ACCESSORY DWELLING UNIT PER AB494 AN",2019-04-11,94000.0,995.0,,1.0,RA-1,2782001017,2782001017,Residential,Single Family Residence,2018-11-29,2.0,2.0,1,"505,000.00"
354,NEW DETACHED 1-STORY  ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2019-09-19,50000.0,497.0,,1.0,R1-1,2201020019,2201020019,Residential,Single Family Residence,2012-05-01,2.0,1.0,1,"343,420.00"
355,Convert (E) 2 Story Storage building into 2 Story Accessory Dwelling U,2019-04-29,35000.0,960.0,,2.0,R2-1,5117008022,5117008022,Residential,Single Family Residence,2018-07-18,3.0,2.0,1,"400,000.00"
356,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER A,2019-07-12,15000.0,324.0,,,R2-1-CPIO,5003005007,5003005007,Residential,Single Family Residence,2017-11-14,3.0,2.0,1,"445,732.00"
357,CONVERT (E) 18' X 19' ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2019-09-18,30000.0,342.0,0.0,0.0,R1-1-O,2649026020,2649026020,Residential,Single Family Residence,1998-05-06,3.0,2.0,1,"218,987.00"
358,CONVERT (E) 20'x 20'  DET. REC ROOM TO ACCESSORY DWELLING UNIT PER AB,2018-05-15,15000.0,0.0,,0.0,R1-1-CUGU,2623027014,2623027014,Residential,Single Family Residence,1990-08-16,3.0,3.0,1,"257,698.00"
359,Conversion of (E) detached garage into an Accessory Dwelling Unit per,2020-02-13,25000.0,475.0,,1.0,R2-1,5001021029,5001021029,Residential,Single Family Residence,2017-04-28,4.0,2.0,1,"384,830.00"
360,NEW 2 STORY ADU WITH ATTACHED GARAGE PER AB 494 AND SB 229,2018-09-05,162000.0,1154.0,,2.0,R1-1,5007020003,5007020003,Residential,Single Family Residence,2017-12-12,4.0,1.0,1,"561,000.00"
361,CONVERT (E) (18'x15')GARAGE TO ACCESSORY DWELLING UNIT AND  ADD (13'x1,2019-09-19,30000.0,465.0,,0.0,R1-1,6057002015,6057002015,Residential,Single Family Residence,2013-07-29,2.0,1.0,1,"200,947.00"
362,24'x30' accessory dwelling unit addition to (E) single family dwellin,2019-09-19,67000.0,667.0,,1.0,R1-1-O,4321009078,4321009078,Residential,Single Family Residence,2010-01-07,3.0,1.0,1,"408,578.00"
363,"CONVERT (E) 18'-2"" X 19'-10"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2019-09-17,20000.0,329.0,,0.0,R1-1,2204025040,2204025040,Residential,Single Family Residence,2015-01-29,2.0,2.0,1,"471,431.00"
364,PROPOSE ADDITION & CONVERT PORTION OF (E) SFD TO ADU AS PER AB 494 & S,2018-09-21,39000.0,1664.0,0.0,0.0,R1-1XL-O-CUGU,7417016004,7417016004,Residential,Single Family Residence,2009-07-28,4.0,3.0,1,"260,348.00"
365,(N) 1-STORY ACCESSORY DWELLING UNIT PER AB494 & SB229 & AA-2016-4436-P,2018-09-24,111000.0,1094.0,,1.0,R1-1,2322014003,,,,,,,,
366,1-STORY NEW ACCESSORY DWELLING UNIT ON REAR LOT PER AB494 ABD SB229 pe,2019-09-16,110000.0,1182.0,,1.0,R1-1-O,2618006022,2618006022,Residential,Single Family Residence,2005-04-18,4.0,2.0,1,"164,935.00"
367,New 2-story accessory dwelling unit per AB 494 and SB 229,2020-02-14,160000.0,1167.0,,2.0,R1-1,2171013070,2171013070,Residential,Single Family Residence,2009-01-16,5.0,3.0,1,"668,394.00"
368,Supplemental to Permit # 18010-20000-06339 to revise location of ADU (,2019-09-20,501.0,,,,RA-1,2787016012,2787016012,Residential,Single Family Residence,2018-03-16,2.0,3.0,1,"918,000.00"
369,NEW ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069 AT REAR YARD . ONE,2018-07-24,110000.0,806.0,,2.0,R2-1,5117008026,5117008026,Residential,"Double, Duplex, or Two Units",2007-08-29,2.0,2.0,2,"146,610.00"
370,"CONVERT (E) 18'-3"" X 20'-2"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2018-07-06,20000.0,368.0,,0.0,R1-1-RIO,2024006001,2024006001,Residential,Single Family Residence,2018-06-29,3.0,2.0,1,"502,860.00"
371,"NEW 31'-9"" X 40'  ACCESSORY DWELLING UNIT PER AB 494 & SB 229",2018-12-14,128000.0,1199.0,,1.0,R1-1-CUGU,2310017005,2310017005,Residential,Single Family Residence,2018-10-26,2.0,1.0,1,"531,000.00"
372,CONVERT (E) STORAGE ROOM TO ACCESSORY DWELLING UNIT PER AB 494 AND SB,2019-08-19,20000.0,507.0,0.0,1.0,R1-1-RIO,2124010015,2124010015,Residential,Single Family Residence,2010-12-20,3.0,1.0,1,"356,030.00"
373,"Convert (e) 18'4"" x 20'3"" att. garage into an Accessory Dwelling Unit",2019-08-20,25000.0,360.0,0.0,,R1-1,2122004016,2122004016,Residential,Single Family Residence,2017-05-16,3.0,1.0,1,"490,027.00"
374,1-STORY ADDITION OF ADU TO  REAR OF EXISTING 2-STORY SFD PER AB 229 &,2019-09-18,45000.0,2559.52,,0.0,[Q]RD3-1D,5213005018,5213005018,Residential,Single Family Residence,1977-11-04,4.0,2.0,1,"84,858.00"
375,CONVERT GARAGE TO  ACCESSORY DWELLING UNIT PER AB 494 AND SB 229; ALL,2020-02-12,20000.0,190.0,,0.0,R1-1-HPOZ,5535026017,5535026017,Residential,Single Family Residence,2001-10-05,3.0,1.0,1,"273,000.00"
376,CONVERT THE DET. GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494 AND,2019-08-22,20000.0,429.0,,,RE11-1,2572040007,2572040007,Residential,Single Family Residence,2008-12-10,3.0,2.0,1,"484,842.00"
377,"CONVERT (E) 18'-5"" X 19'-5"" DETACHED GARAGE TO ACCESSORY DWELLING UNIT",2019-08-21,15000.0,320.0,,0.0,R1-1-O,4317010035,4317010035,Residential,Single Family Residence,2015-05-18,3.0,2.0,1,"674,565.00"
378,CONVERT EX DETACHED GARAGE & STORAGE BLDG INTO ACCESSORY DWELLING UNIT,2019-08-23,25000.0,567.0,,1.0,R1-1,4107035021,4107035021,Residential,Single Family Residence,2004-05-17,2.0,1.0,1,"713,733.00"
379,Convert portion of (E) SFD to Accessory Dwelling Unit and addition to,2019-01-07,10000.0,2337.0,0.0,0.0,RA-1,2166004007,2166004007,Residential,Single Family Residence,1994-04-01,3.0,2.0,1,"170,376.00"
380,NEW ONE STORY ACCESSORY DWELLING UNIT AT REAR OF LOT PER AB 494 AND SB,2018-05-02,84840.0,840.0,,1.0,RD1.5-1-O-HPOZ,5124006019,5124006019,Residential,Single Family Residence,2018-01-24,2.0,1.0,1,"907,800.00"
381,CONVERT DETACHED REC ROOM TO ACCESSORY DWELLING UNIT,2020-02-11,15000.0,536.0,,1.0,R1-1,2238024014,2238024014,Residential,Single Family Residence,2017-08-16,3.0,2.0,1,"428,739.00"
382,"CONVERT ATTACHED  20' 1"" X 22' 1"" 2-CAR GARAGE TO ACCESSORY DWELLING U",2019-01-17,20000.0,444.0,0.0,1.0,RS-1,2103014016,2103014016,Residential,Single Family Residence,1998-09-04,5.0,3.0,1,"276,320.00"
383,CONVERT EXISTING GARAGE (306 SF) INTO ACCESSORY DWELLING UNIT PER AB 4,2019-08-26,28000.0,,,1.0,R1-1-O-HPOZ,5087018006,5087018006,Residential,Single Family Residence,2018-11-21,4.0,2.0,1,"1,404,540.00"
384,"(N) (24'9""x30'11"" Irregular) SINGLE-STORY ACCESSORY DWELLING UNIT PER",2019-08-23,68000.0,496.6,,1.0,RA-1,2177001023,2177001023,Residential,Single Family Residence,2017-06-01,4.0,3.0,1,"1,327,238.00"
385,(N) ADU PER AB494 AND SB229 ATTACHED TO (E) GARAGE PER WFPP,2018-07-06,76500.0,756.0,,0.0,R1-1,5669022022,5669022022,Residential,Single Family Residence,1999-11-17,2.0,1.0,1,"301,127.00"
386,ALTERATE AND CONVERT THE ATTACHED GARAGE  INTO AN  ACCESSORY DWELLING,2018-11-16,20000.0,400.0,0.0,0.0,R1-1,2625011020,2625011020,Residential,Single Family Residence,2012-09-20,3.0,2.0,1,"264,932.00"
387,NEW ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2019-07-25,70000.0,699.0,,1.0,R1-1,6002025026,6002025026,Residential,Single Family Residence,2003-03-03,2.0,1.0,1,"227,194.00"
388,"CONVERT (E) 19'-10""X20'-3"" DETACHED GARAGE TO (N) ACCESSORY DWELLING U",2018-11-08,20000.0,363.0,,1.0,R1-1,4301007024,4301007024,Residential,Single Family Residence,2018-06-08,3.0,2.0,1,"994,500.00"
389,CONVERSION OF (E) GARAGE TO AN ACCESSORY DWELLING UNIT PER AB494 & SB2,2019-04-15,25000.0,384.0,,0.0,R1-1,2151033082,2151033082,Residential,Single Family Residence,2016-12-23,4.0,2.0,1,"697,067.00"
390,two car garage on first floor with ADU on the second floor,2019-08-21,64500.0,958.0,,2.0,R1-1,4325016009,4325016009,Residential,Single Family Residence,2013-12-18,2.0,2.0,1,"1,395,619.00"
391,CONVERSION OF (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & S,2019-08-22,18400.0,325.0,,,R1-1-O,4321013040,4321013040,Residential,Single Family Residence,2016-01-05,3.0,2.0,1,"1,285,112.00"
392,Convert (e) 31' x 42' attached garage into an Accessory Dwelling Unit,2019-08-19,60000.0,1302.0,0.0,,RE11-1,2715008042,2715008042,Residential,Single Family Residence,2010-04-16,4.0,2.0,1,"497,563.00"
393,"NEW 40'-0"" X 22'-6""  ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.",2019-04-10,90900.0,810.0,,1.0,R1-1,2169008015,2169008015,Residential,Single Family Residence,2014-03-19,2.0,1.0,1,"609,894.00"
394,"IRR. 17'-5"" X 31' ADDITION OF AN ATTACHED ACCESSORY DWELLING UNIT PER",2019-05-16,50000.0,495.0,0.0,0.0,RS-1-RIO,2137011008,2137011008,Residential,Single Family Residence,2011-11-01,3.0,2.0,1,"287,120.00"
395,NEW 28'X45' ACCESSORY DWELLING UNIT PER AB 494 & SB 229,2019-08-21,120000.0,1200.0,,1.0,R1-1-CUGU,2310002028,2310002028,Residential,Single Family Residence,2016-04-05,2.0,1.0,1,"397,951.00"
396,"ADDITION OF ACCESSORY DWELLING UNIT TO TOP OF GARAGE PER AB2299, SB106",2019-03-27,70000.0,588.0,0.0,2.0,RS-1,2033024008,2033024008,Residential,Single Family Residence,2017-11-07,3.0,2.0,1,"472,908.00"
397,PROPOSED DETACHED ACCESSORY DWELLING UNIT PER AB-494 AND SB-229.,2019-08-21,121200.0,1131.0,,1.0,R1-1VL,2353035019,2353035019,Residential,Single Family Residence,2015-04-02,2.0,1.0,1,"657,206.00"
398,"NEW 43'2"" X 34'5"" IRREGULAR SHAPED ACCESSORY DWELLING UNIT PER AB 494",2019-08-19,130000.0,1190.0,,1.0,RA-1,2690009010,2690009010,Residential,Single Family Residence,2018-04-23,3.0,2.0,1,"719,100.00"
399,"NEW 30'-2"" x 29'-9"" ACCESSORY DWELLING UNIT PER AB 494 AND SB 229",2018-10-10,90000.0,897.0,,1.0,RS-1,2012029018,2012029018,Residential,Single Family Residence,2018-07-03,3.0,2.0,1,"550,000.00"
400,"CONVERT (E) 20'-0"" X 21'-0"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-08-19,22000.0,460.0,0.0,0.0,RS-1,2033027014,2033027014,Residential,Single Family Residence,2014-11-06,3.0,2.0,1,"387,801.00"
401,PROPOSED (N) (18' X 25') ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2018-05-07,45500.0,450.0,,1.0,RE15-1-H,2173018006,2173018006,Residential,Single Family Residence,2015-05-22,6.0,5.0,1,"1,750,757.00"
402,CONVERTION OF (E) GARAGE TO ADU PER AB494 AND SB229,2018-11-13,18400.0,0.0,,0.0,RS-1,2625020020,2625020020,Residential,Single Family Residence,2000-01-31,3.0,2.0,1,"208,030.00"
403,ADDITION TO ACCESSORY LIVING QUARTERS AND CONVERT TO ADU.,2017-12-19,501.0,421.0,,1.0,R1-1,5430026018,5430026018,Residential,"Double, Duplex, or Two Units",2017-08-09,1.0,2.0,2,"918,000.00"
404,Conversion of (E) garage into Accessory Dwelling Unit per AB 494 and S,2019-09-20,15000.0,218.0,,0.0,R1-1,4404002031,4404002031,Residential,Single Family Residence,2011-03-04,2.0,2.0,1,"1,428,176.00"
405,NEW 40' X 27' DETACHED ACCESSORY DWELLING UNIT  AS PER AB  494 AND SB,2018-03-20,109000.0,1014.0,,1.0,R1-1,2236003005,2236003005,Residential,Single Family Residence,2018-03-22,3.0,1.0,1,"406,980.00"
406,Supplemental to permit 18016-30000-23839 to revise ADU floor plan.,2020-02-10,501.0,,,,RE20-1-H-HCR,4370006070,4370006070,Residential,Single Family Residence,2017-01-27,5.0,6.0,1,"4,970,780.00"
407,CONVERT EX DET GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 & SB 229,2020-02-10,39000.0,622.05,,1.0,R1-1,2218016020,2218016020,Residential,Single Family Residence,2016-03-11,4.0,2.0,1,"362,189.00"
408,SUPPLEMENTAL TO PERMIT #: 18010-10000-02855 PLAN REVISIONS - ADU CHANG,2019-01-29,85000.0,1140.0,,2.0,R1-1,2377011007,2377011007,Residential,Single Family Residence,2017-01-19,2.0,2.0,1,"1,508,580.00"
409,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT.,2020-02-13,20000.0,322.0,,,RA-1,2654017004,2654017004,Residential,Single Family Residence,2003-03-18,4.0,2.0,1,"269,278.00"
410,"ADD 19' 5"" X 16' ACCESSORY DWELLING UNIT TO DETACHED 2-CAR GARAGE AND",2019-08-22,109000.0,1072.0,,2.0,R1V2,4244005023,4244005023,Residential,Single Family Residence,2011-12-19,4.0,2.0,1,"639,104.00"
411,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-08-22,36500.0,771.0,0.0,0.0,R1-1,2346020002,2346020002,Residential,Single Family Residence,2018-11-27,4.0,3.0,1,"1,375,000.00"
412,"NEW 25'-0"" X 21'-6"" DETACHED ACCESSORY DWELLING UNIT (403 SQ FT) PER A",2018-05-18,55000.0,403.0,,1.0,RD2-1,5062011004,5062011004,Residential,Single Family Residence,2018-02-20,2.0,1.0,1,"896,719.00"
413,CONVERT (E) DETAHCED GARAGE INTO (N) ACCESSORY DWELLING UNIT PER AB 49,2018-08-28,44000.0,440.0,,0.0,R1-1-O-HPOZ,5087020020,5087020020,Residential,Single Family Residence,2005-11-18,3.0,2.0,1,"1,500,697.00"
414,"CONVERT (E) 18'-11"" X 21'  DETACHED GARAGE TO ACCESSORY DWELLING UNIT",2019-08-23,20500.0,397.0,,1.0,RS-1-RIO,2134017017,2134017017,Residential,Single Family Residence,2012-10-29,3.0,2.0,1,"364,282.00"
415,CONVERSION OF (E) GARAGE TO ACCESSORY DWELLING UNIT PER  AB 494  AND S,2019-05-13,25000.0,263.0,,1.0,R1-1-RIO,5437020023,5437020023,Residential,Single Family Residence,2018-12-03,3.0,2.0,1,"875,000.00"
416,(N) DETTACHED ACCESSORY DWELLING UNIT (40'X31.5') PER AB494 AND SB229,2019-08-23,121200.0,1200.0,,1.0,R1-1,2414031044,2414031044,Residential,Single Family Residence,2017-06-16,2.0,1.0,1,"504,593.00"
417,"CONVERT (E) 18'-6"" X 20'-0"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2020-02-10,20000.0,370.0,,0.0,R1-1,2621016005,2621016005,Residential,Single Family Residence,1993-07-01,3.0,2.0,1,"231,573.00"
418,CONVERT THE (E) ATTACHED GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER,2019-01-24,25000.0,458.0,0.0,,RS-1,2036010008,2036010008,Residential,Single Family Residence,2010-12-08,3.0,2.0,1,"485,810.00"
419,"CONVERT (E) 20'-2"" x 20'-2"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2018-09-24,20000.0,369.0,,0.0,R1-1-RIO,2129011007,2129011007,Residential,Single Family Residence,2017-12-22,3.0,2.0,1,"545,700.00"
420,Convert existing detached garage to Accessory Dwelling Unit and Additi,2018-03-09,49115.0,437.0,,1.0,R1-1-O-RFA,5510004035,5510004035,Residential,Single Family Residence,2015-10-14,4.0,3.0,2,"1,726,641.00"
421,ADD ACCESSORY DWELLING UNIT TO (E) DETACHED GARAGE PER AB 494 AND SB 2,2019-08-19,60000.0,524.0,,1.0,R1-1,6035005024,6035005024,Residential,Single Family Residence,2005-10-04,3.0,1.0,1,"413,436.00"
422,CONVERT ATTACHED  GARAGE AND STORAGE ROOM TO ACCESSORY DWELLING UNIT.,2020-02-12,30000.0,1626.0,0.0,,R1-1-CUGU,2536003023,2536003023,Residential,Single Family Residence,2007-11-08,3.0,2.0,1,"245,079.00"
423,"CONVERT (E) 22'6""  X 19'2"" ATTACHED GARAGE TO ACCESSORY DWELLING UNIT",2017-12-08,15000.0,430.0,0.0,2.0,RE11-1,2010010023,2010010023,Residential,Single Family Residence,2008-11-17,4.0,3.0,1,"456,347.00"
424,NEW 1200 SQFT DETACHED ADU PER AB 494 AND SB 229,2019-08-20,150000.0,1199.92,,1.0,RS-1-RIO,2139007011,2139007011,Residential,Single Family Residence,2009-08-17,5.0,3.0,1,"393,422.00"
425,CONVERT (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT.,2020-02-13,20000.0,1579.0,0.0,1.0,R1-1,2627025007,2627025007,Residential,Single Family Residence,2004-01-28,3.0,2.0,1,"295,576.00"
426,NEW 19' X 47' DETACHED ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069,2019-08-23,51000.0,874.0,,1.0,A1-1,2544019010,2544019010,Residential,Single Family Residence,2016-06-28,2.0,1.0,1,"354,678.00"
427,ECPC WALK IN: CONVERT THE (E) GARAGE INTO A (N) ADU PER AB 494 AND SB,2019-03-13,33000.0,600.0,,0.0,RE9-1XL-RFA,2712001020,2712001020,Residential,Single Family Residence,2014-07-08,4.0,4.0,1,"634,916.00"
428,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2019-09-17,35000.0,400.0,,1.0,R1-1-O,4256005028,4256005028,Residential,Single Family Residence,2017-12-28,3.0,2.0,1,"907,517.00"
429,ADD 27' x 16' (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229 TO THE,2019-08-21,44000.0,403.0,,1.0,R1-1,5006033024,5006033024,Residential,Single Family Residence,2016-01-05,2.0,1.0,1,"275,517.00"
430,NEW 47' X 27' ACCESSORY DWELLING UNIT PER AB494 AND SB 229 WITH ATTACH,2019-08-19,121000.0,1547.0,,1.0,RS-1,2682025013,2682025013,Residential,Single Family Residence,2016-10-14,3.0,2.0,1,"539,571.00"
431,CONVERT (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND,2018-11-29,20000.0,475.0,0.0,1.0,RS-1,2034009022,2034009022,Residential,Single Family Residence,2015-12-08,3.0,2.0,1,"679,171.00"
432,NEW 39' X 40' IRREGULAR SHAPE ACCESSORY DWELLING UNIT PER AB 494 & SB,2020-02-10,121000.0,1047.0,,1.0,R1-1-RIO,2126010021,2126010021,Residential,Single Family Residence,2016-09-02,2.0,1.0,1,"151,041.00"
433,ACCESSORY DWELLING UNIT (30'x40') PER AB 494 & SB 229,2019-08-22,121000.0,1131.0,,1.0,R1-1-CUGU,2631013034,2631013034,Residential,Single Family Residence,2018-10-31,2.0,1.0,1,"550,800.00"
